duration,total_packets,total_bytes,flow_packets_per_sec,flow_bytes_per_sec,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,fwd_pkt_ratio,bwd_pkt_ratio,fwd_byte_ratio,bwd_byte_ratio,syn_count,fin_count,psh_count,ack_count,rst_count,syn_ratio,fin_ratio,psh_ratio,syn_per_packet,avg_packet_size,max_packet_size,min_packet_size,packet_size_variance,burst_rate,is_idle_flow,is_short_flow,is_long_flow,is_unidirectional,is_high_rate,is_tcp,is_udp,is_icmp,label
5.792996,4,0,0.690488997,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,3.999999997665012,1,0,0,0,0,1,0,0,WEB_ATTACK
99.727623,12,11943,0.120327745,119.7561883,6,6,348,11595,0.5,0.5,0.0291384074353177,0.9708615925646822,0,0,0,1,0,0.0,0.0,0.0,0.0,995.25,5792,0,2945040.231,11.999999989800134,1,0,1,0,0,1,0,0,DOS
5.192533,4,0,0.770336943,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,3.999999997646619,1,0,0,0,0,1,0,0,WEB_ATTACK
5.035216,4,0,0.794404848,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.000000001127168,1,0,0,0,0,1,0,0,WEB_ATTACK
0.000421,3,10,7125.890736,23752.96912,2,1,8,2,0.6666666666666666,0.3333333333333333,0.8,0.2,0,0,1,0,0,0.0,0.0,0.3333333333333333,0.0,4.0,6,2,4.0,2.999999999856,0,1,0,0,1,1,0,0,PORTSCAN
36.763559,4,12,0.108803394,0.326410182,2,2,0,12,0.5,0.5,0.0,1.0,0,0,1,0,0,0.0,0.0,0.25,0.0,3.0,6,0,10.8,3.999999994719246,1,0,0,0,0,1,0,0,PORTSCAN
97.467975,13,11970,0.133377143,122.809569,8,5,375,11595,0.6153846153846154,0.3846153846153846,0.031328320802005,0.968671679197995,0,0,0,1,0,0.0,0.0,0.0,0.0,920.7692308,4344,0,2776738.154,13.000000039495426,1,0,1,0,0,1,0,0,DOS
5.782435,4,0,0.691750102,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.00000000105837,1,0,0,0,0,1,0,0,WEB_ATTACK
8.06944,11,11657,1.363167704,1444.585994,7,4,50,11607,0.6363636363636364,0.3636363636363636,0.0042892682508364,0.9957107317491636,0,0,0,1,0,0.0,0.0,0.0,0.0,1060.272727,11595,0,11200000.0,10.99999999736576,0,0,0,0,0,1,0,0,DDOS
0.001312,4,0,3048.780488,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.000000000256,0,1,0,0,1,1,0,0,PORTSCAN
101.140645,14,12498,0.138421107,123.5704993,7,7,903,11595,0.5,0.5,0.0722515602496399,0.92774843975036,0,1,0,0,0,0.0,0.0714285714285714,0.0,0.0,893.1428571,4344,0,1974707.543,14.000000043594016,1,0,1,0,0,1,0,0,DOS
2.514136,4,24,1.591003828,9.546022968,4,0,24,0,1.0,0.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.5,6,6,0.0,4.000000000112609,0,1,0,1,0,1,0,0,DDOS
5.235931,4,0,0.763952008,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.000000001199448,1,0,0,0,0,1,0,0,WEB_ATTACK
5.553341,4,0,0.720287121,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.000000000821261,1,0,0,0,0,1,0,0,WEB_ATTACK
3.904915,6,36,1.536525123,9.219150737,6,0,36,0,1.0,0.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.0,6,6,0.0,6.000000000679545,0,1,0,1,0,1,0,0,DDOS
2.829914,5,30,1.766838144,10.60102887,5,0,30,0,1.0,0.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.2,6,6,0.0,4.999999999439616,0,1,0,1,0,1,0,0,DDOS
0.00099,4,0,4040.40404,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,3.9999999996,0,1,0,0,1,1,0,0,PORTSCAN
100.094555,13,11663,0.129877195,116.5198247,9,4,62,11601,0.6923076923076923,0.3076923076923077,0.0053159564434536,0.9946840435565464,0,0,0,1,0,0.0,0.0,0.0,0.0,897.6153846,8760,0,5773033.654,13.000000038173225,1,0,1,0,0,1,0,0,DDOS
5.134253,4,0,0.779081202,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,3.999999998612106,1,0,0,0,0,1,0,0,WEB_ATTACK
4.545571,4,24,0.879977455,5.27986473,4,0,24,0,1.0,0.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.5,6,6,0.0,4.000000000101805,1,1,0,1,0,1,0,0,DDOS
3e-06,2,6,666666.6667,2000000.0,1,1,0,6,0.5,0.5,0.0,1.0,0,0,1,0,0,0.0,0.0,0.5,0.0,3.0,6,0,12.0,2.0000000001,0,1,0,0,1,1,0,0,PORTSCAN
80.213775,14,11663,0.174533613,145.3989667,9,5,62,11601,0.6428571428571429,0.3571428571428571,0.0053159564434536,0.9946840435565464,0,0,0,1,0,0.0,0.0,0.0,0.0,833.5,5840,0,2970874.638,13.999999963119077,1,0,1,0,0,1,0,0,DDOS
4e-06,2,8,500000.0,2000000.0,1,1,2,6,0.5,0.5,0.25,0.75,0,0,1,0,0,0.0,0.0,0.5,0.0,5.0,6,2,5.333333333,2.0,0,1,0,0,1,1,0,0,PORTSCAN
1.329957,8,11627,6.015232071,8742.387912,3,5,26,11601,0.375,0.625,0.0022361744216048,0.9977638255783952,0,0,1,0,0,0.0,0.0,0.125,0.0,1453.375,4380,0,3923213.111,7.999999999450947,0,1,0,0,0,1,0,0,DDOS
5.130582,4,0,0.779638645,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,3.9999999985413903,1,0,0,0,0,1,0,0,WEB_ATTACK
0.019224,5,0,260.0915522,0.0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.999999999492801,0,1,0,1,1,1,0,0,PORTSCAN
34.166352,307,116151,8.985448607,3399.572773,203,104,43951,72200,0.6612377850162866,0.3387622149837133,0.3783953646546306,0.6216046353453694,0,0,1,0,0,0.0,0.0,0.003257328990228,0.0,378.3420195,1069,0,130127.5017,306.9999999846717,0,0,0,0,0,1,0,0,WEB_ATTACK
6.005311,9,11613,1.498673424,1933.788275,3,6,18,11595,0.3333333333333333,0.6666666666666666,0.0015499870834409,0.998450012916559,0,0,1,0,0,0.0,0.0,0.1111111111111111,0.0,1290.333333,4344,0,2702072.456,8.999999998554863,0,0,0,0,0,1,0,0,PORTSCAN
0.000834,3,10,3597.122302,11990.40767,2,1,8,2,0.6666666666666666,0.3333333333333333,0.8,0.2,0,0,1,0,0,0.0,0.0,0.3333333333333333,0.0,4.0,6,2,4.0,2.9999999998680003,0,1,0,0,1,1,0,0,PORTSCAN
5.429756,4,0,0.736681354,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.0000000019696245,1,0,0,0,0,1,0,0,WEB_ATTACK
0.002417,5,0,2068.680182,0.0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.999999999894,0,1,0,1,1,1,0,0,PORTSCAN
5.336889,4,0,0.749500318,0.0,3,1,0,0,0.75,0.25,0.0,0.0,0,0,1,0,0,0.0,0.0,0.25,0.0,0.0,0,0,0.0,4.000000002630703,1,0,0,0,0,1,0,0,WEB_ATTACK
4.778977,4,24,0.836999216,5.021995293,4,0,24,0,1.0,0.0,1.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.5,6,6,0.0,4.000000002282032,1,1,0,1,0,1,0,0,DDOS
